iter	RMSE
488	4.731326719
489	4.73093693
490	4.730737379
491	4.730711867
492	4.730616646
493	4.729833916
494	4.728590579
495	4.728368407
496	4.728272885
497	4.728139078
498	4.728104938
499	4.727359614
500	4.72731546
501	4.727245731
502	4.726726551
503	4.726679984
504	4.72656492
505	4.726383077
506	4.72309592
507	4.720085603
508	4.719626845
509	4.719588903
510	4.719566354
511	4.71923249
512	4.719035281
513	4.718706973
514	4.718475474
515	4.718314367
516	4.717131139
517	4.717092256
518	4.716930736
519	4.716666036
520	4.716241061
521	4.716206342
522	4.715349946
523	4.714819093
524	4.714640655
525	4.714065279
526	4.711321565
527	4.711281301
528	4.711147973
529	4.710851156
530	4.710082492
531	4.70915307
532	4.708772209
533	4.708225396
534	4.708065845
535	4.706178279
536	4.706148304
537	4.706059778
538	4.705998104
539	4.705222986
540	4.705204325
541	4.704371156
542	4.703728044
543	4.703709557
544	4.703620672
545	4.702438882
546	4.701119634
547	4.701066633
548	4.700529205
549	4.699801012
550	4.699755987
551	4.698573601
552	4.698368211
553	4.698268639
554	4.697974375
555	4.697866131
556	4.697509657
557	4.695671216
558	4.695207557
559	4.694654992
560	4.694595574
561	4.694564512
562	4.694289462
563	4.694200253
564	4.69300551
565	4.692627756
566	4.69238952
567	4.691664351
568	4.691635
569	4.691130357
570	4.691006983
571	4.690498401
572	4.690046562
573	4.689698334
574	4.689640038
575	4.686989936
576	4.68664209
577	4.686331216
578	4.686293939
579	4.686260047
580	4.685574777
581	4.685239522
582	4.684775735
583	4.684594128
584	4.68455904
585	4.684509489
586	4.684488348
587	4.683870242
588	4.683721939
589	4.683188703
590	4.682845067
591	4.682420566
592	4.682315534
593	4.682278975
594	4.681777854
595	4.681439651
596	4.68123937
597	4.681107536
598	4.681072249
599	4.678435808
600	4.677983585
601	4.677742358
602	4.677547089
